TITLE;Differential evolution variants;;;;;;;;;
FOCUS ON;;;;;;;;;;
EXPERIMENT TYPE;DEVariants;;;;;;;;;
PARAMETERS;;;;;;;;;;
normalization;Center;;;;;;;;;
pcaRecompositionThreshold;0.95;;;;;;;;;
component;1;2;3;4;5;6;7;8;;
type;RandomNormal;RandomUniform;RandomNormal;RandomNormal;RandomNormal;RandomUniform;RandomWeibull;RandomWeibull;;
p1;0;0;0;0;0;0;0;0;;
p2;15;10;10;10;10;5;0.2;5;;
RESULTS;;;;;;;;;;
COMMON;;;;;;;;;;
distance;;;;;;;;;;
which;A;T;C;;;;;;;
plain;12.339;1.0304;1.6555;;;;;;;
PCA;232.56;0.0088295;6.9217;;;;;;;
PCA;;;;;;;;;;
weights;0.000036201;1.7316E-006;0.000041148;0.000033372;0.000025605;1.9338E-007;0.081678;0.000000006;3.262E-008;
differential evolutions parameters, by distance type;;;;;;;;;;
i;dDE / dP;distance;type;parentWeight;crossover;population;iterations;distance;;
24674;4.8645;5.0125;1;1;1;125;50;T;1.5181E-006;8916
29176;6.7891;6.9956;3;1.5;0.5;125;10;T;3.9316E-006;190
29277;13.599;14.013;3;1.5;0.75;125;30;T;0.000010437;2654
28069;5.7266;5.9008;3;0.85;0.75;75;10;T;0.000017496;
30426;7.3673;7.5914;4;1;0.75;75;30;T;0.000027588;1846
24759;11.252;11.595;1;1.2;0.25;100;75;T;0.000061607;
28448;6.5567;6.7562;3;1;0.75;50;10;T;0.000068658;
28878;12.325;12.7;3;1.2;0.75;100;100;T;0.000068883;
29828;13.422;13.831;4;0.85;0.25;50;75;T;0.000093709;
28504;6.8841;7.0936;3;1;0.75;150;10;T;0.000097547;
29383;3.7646;3.8791;3;1.5;1;125;125;T;0.0001074;
28155;2.4402;2.5144;3;0.85;1;30;150;T;0.00011185;
28518;3.3744;3.4771;3;1;1;10;10;T;0.00013069;
17594;3.8177;6.3203;3;1.5;1;75;100;C;0.0001324;
28913;2.6583;2.7391;3;1.2;1;10;50;T;0.00014179;
26638;3.6008;3.7103;2;1;1;125;100;T;0.0001549;
28280;4.8055;4.9517;3;1;0.25;100;10;T;0.00016664;
27775;3.2519;3.3508;3;0.5;1;75;10;T;0.00017814;
29380;3.4533;3.5584;3;1.5;1;125;75;T;0.00018231;
30662;5.6936;5.8669;4;1.2;0.25;150;30;T;0.00020027;
26938;11.745;12.102;2;1.2;0.75;150;30;T;0.00021429;
25199;3.0015;3.0929;1;1.5;0.5;30;10;T;0.00021514;
32871;3.3911;3.4942;5;1.2;1;75;10;T;0.00021835;
30663;7.288;7.5098;4;1.2;0.25;150;30;T;0.00023645;
30926;3.6596;3.7709;4;1.2;1;100;10;T;0.00024445;
32822;9.807;10.105;5;1.2;0.75;150;50;T;0.00025074;
28494;16.738;17.248;3;1;0.75;125;30;T;0.00025646;
