TITLE;15 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;;;;;;;;;1;2;3;4;5;6;7;8
type;;;;;;;;;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal;RandomNormal
p1;;;;;;;;;0;0;0;0;0;0;0;0
p2;;;;;;;;;1;1;1;1;1;1;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.072872;0.24185;0.94194
D PCA [C] Euclidean(MinimumTimesMedian);0.073971;0.53691;3.4423
D DE (min)[C] Euclidean(MinimumTimesMedian);0.13068;1.0398;7.72
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.14188;1.0408;7.9268
D DE (max)[C] Euclidean(MinimumTimesMedian);0.15087;1.0421;8.0413
D PCA/D plain [C] Euclidean(MinimumTimesMedian);1.0151;2.2201;3.6545
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);1.947;4.3036;8.4154
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);1.9181;1.9385;2.3028
distances;(RandomNormal, RandomPearson) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.066701;0.16623;1.4973
D PCA [C] Euclidean(MinimumTimesMedian);0.062669;0.37539;6.1436
D DE (min)[C] Euclidean(MinimumTimesMedian);0.13819;0.8894;8.7992
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.14647;0.90115;8.8826
D DE (max)[C] Euclidean(MinimumTimesMedian);0.15153;0.93462;8.9626
D PCA/D plain [C] Euclidean(MinimumTimesMedian);0.93955;2.2583;4.1032
D DE (avg)/D plain[C] Euclidean(MinimumTimesMedian);2.1959;5.4211;5.9325
D DE (avg)/D PCA[C] Euclidean(MinimumTimesMedian);2.3372;2.4006;1.4458
distances;(RandomNormal, RandomUniform) (many)
gain;1;3;9;27;81
D plain [C] Euclidean(MinimumTimesMedian);0.02151;0.19866;1.2992
D PCA [C] Euclidean(MinimumTimesMedian);0.050801;0.78246;6.336
D DE (min)[C] Euclidean(MinimumTimesMedian);0.095359;1.0972;8.6588
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.095617;1.1002;8.7191
D DE (max)[C] Euclidean(MinimumTimesMedian);0.095695;1.1014;8.736
