TITLE;6 random variables, variable gain
FOCUS ON;Comparison by gain, distance type and variable type
EXPERIMENT TYPE;SingleAmongManyVaryingGain
RESULTS
PARTICULAR
parameters
normalization;Center
pcaRecompositionThreshold;0.95
component;1;2
type;RandomNormal;RandomNormal
p1;0;0
p2;1;1
distances;(RandomNormal, RandomNormal) (many)
gain;1;3;9;27;81
D plain [C] Manhattan(Average);1.0806;1.2167;1.4808;2.3181;3.7147
D plain [S] Manhattan(Average);1.0594;1.0534;1.0565;1.0538;1.0611
D PCA [C] Manhattan(Average);1.0854;1.516;2.7123;5.0212;8.7082
D PCA [S] Manhattan(Average);1.0594;1.0534;1.0565;1.0538;1.0611
D DE (avg)[C] Manhattan(Average);1.1039;1.6763;2.7368;5.0213;8.7082
D DE (avg)[S] Manhattan(Average);1.0606;1.0556;1.0591;1.0554;1.0636
D plain [C] Manhattan(GeometricAverage);1.067;1.1986;1.4392;2.1811;3.4283
D plain [S] Manhattan(GeometricAverage);1.046;1.04;1.044;1.0405;1.0476
D PCA [C] Manhattan(GeometricAverage);1.0711;1.4383;2.4274;4.4211;7.7517
D PCA [S] Manhattan(GeometricAverage);1.046;1.04;1.044;1.0405;1.0476
D DE (avg)[C] Manhattan(GeometricAverage);1.0781;1.505;2.4398;4.4211;7.7517
D DE (avg)[S] Manhattan(GeometricAverage);1.0468;1.0418;1.046;1.0417;1.0495
D plain [C] Manhattan(Median);1.0808;1.2144;1.4706;2.2583;3.7016
D plain [S] Manhattan(Median);1.057;1.0553;1.0653;1.0576;1.0637
D PCA [C] Manhattan(Median);1.0846;1.5041;2.7071;4.9881;8.7711
D PCA [S] Manhattan(Median);1.057;1.0553;1.0653;1.0576;1.0637
D DE (avg)[C] Manhattan(Median);1.1066;1.6917;2.7343;4.9882;8.7711
D DE (avg)[S] Manhattan(Median);1.0716;1.068;1.0797;1.0704;1.0806
D plain [C] Manhattan(Minimum);0.57341;0.60803;0.64473;0.56751;0.75346
D plain [S] Manhattan(Minimum);0.57125;0.60262;0.53532;0.51148;0.58164
D PCA [C] Manhattan(Minimum);0.55539;0.4561;0.19199;0.070622;0.19753
D PCA [S] Manhattan(Minimum);0.57125;0.60262;0.53532;0.51148;0.58164
D DE (avg)[C] Manhattan(Minimum);0.59023;0.66601;0.71116;0.6688;0.86235
D DE (avg)[S] Manhattan(Minimum);0.58137;0.62656;0.57797;0.587;0.61186
D plain [C] Manhattan(MinimumTimesMedian);0.61975;0.73839;0.94814;1.2816;2.789
D plain [S] Manhattan(MinimumTimesMedian);0.60379;0.63597;0.57026;0.54093;0.61869
D PCA [C] Manhattan(MinimumTimesMedian);0.60238;0.68603;0.51974;0.35227;1.7326
D PCA [S] Manhattan(MinimumTimesMedian);0.60379;0.63597;0.57026;0.54093;0.61869
D DE (avg)[C] Manhattan(MinimumTimesMedian);0.63842;0.79654;1.2752;2.396;4.8252
D DE (avg)[S] Manhattan(MinimumTimesMedian);0.61554;0.65792;0.61582;0.61685;0.6485
D plain [C] Manhattan(Summation);1323.8;1490.4;1813.9;2839.6;4550.5
D plain [S] Manhattan(Summation);1297.8;1290.4;1294.2;1290.9;1299.9
D PCA [C] Manhattan(Summation);1329.6;1857.2;3322.5;6151;10668
D PCA [S] Manhattan(Summation);1297.8;1290.4;1294.2;1290.9;1299.9
D DE (avg)[C] Manhattan(Summation);1352.3;2053.5;3352.6;6151.2;10668
D DE (avg)[S] Manhattan(Summation);1299.2;1293.2;1297.4;1292.9;1302.9
D plain [C] Euclidean(Average);0.58436;0.8153;1.589;5.0758;14.732
D plain [S] Euclidean(Average);0.56048;0.55921;0.5618;0.55909;0.56075
D PCA [C] Euclidean(Average);0.59854;2.1096;8.5669;30.027;88.226
D PCA [S] Euclidean(Average);0.56048;0.55921;0.5618;0.55909;0.56075
D DE (avg)[C] Euclidean(Average);1.3198;3.2926;8.763;30.029;88.227
D DE (avg)[S] Euclidean(Average);1.1602;1.1485;1.1616;1.1265;1.1668
D plain [C] Euclidean(GeometricAverage);0.55868;0.75606;1.3065;3.6261;10.379
D plain [S] Euclidean(GeometricAverage);0.5362;0.53436;0.53856;0.53415;0.53632
D PCA [C] Euclidean(GeometricAverage);0.5696;1.5755;5.8283;19.545;60.088
D PCA [S] Euclidean(GeometricAverage);0.5362;0.53436;0.53856;0.53415;0.53632
D DE (avg)[C] Euclidean(GeometricAverage);0.90643;2.2107;5.9525;19.546;60.088
D DE (avg)[S] Euclidean(GeometricAverage);0.79119;0.7826;0.78716;0.79273;0.80516
D plain [C] Euclidean(Median);0.57556;0.74913;1.351;4.165;12.827
D plain [S] Euclidean(Median);0.55616;0.55176;0.56022;0.54559;0.55187
D PCA [C] Euclidean(Median);0.58342;1.8129;7.309;24.881;76.933
D PCA [S] Euclidean(Median);0.55616;0.55176;0.56022;0.54559;0.55187
D DE (avg)[C] Euclidean(Median);1.085;2.862;7.4763;24.882;76.933
D DE (avg)[S] Euclidean(Median);1.0178;0.98479;0.97505;0.9939;0.9931
D plain [C] Euclidean(Minimum);0.15834;0.20006;0.21428;0.14207;0.29893
D plain [S] Euclidean(Minimum);0.15713;0.17969;0.13659;0.12739;0.15807
D PCA [C] Euclidean(Minimum);0.15252;0.10247;0.020597;0.0048796;0.038995
D PCA [S] Euclidean(Minimum);0.15713;0.17969;0.13659;0.12739;0.15807
D DE (avg)[C] Euclidean(Minimum);0.1859;0.24748;0.31451;0.27543;0.46272
D DE (avg)[S] Euclidean(Minimum);0.18555;0.19516;0.1986;0.19376;0.18739
D plain [C] Euclidean(MinimumTimesMedian);0.091133;0.14987;0.2895;0.59174;3.8344
D plain [S] Euclidean(MinimumTimesMedian);0.087387;0.099147;0.076522;0.069502;0.087232
D PCA [C] Euclidean(MinimumTimesMedian);0.088986;0.18577;0.15054;0.12141;3
D PCA [S] Euclidean(MinimumTimesMedian);0.087387;0.099147;0.076522;0.069502;0.087232
D DE (avg)[C] Euclidean(MinimumTimesMedian);0.11711;0.24187;0.91092;3.5653;15.841
D DE (avg)[S] Euclidean(MinimumTimesMedian);0.11141;0.11413;0.13704;0.12168;0.12007
D plain [C] Euclidean(Summation);715.84;998.74;1946.5;6217.9;18047
D plain [S] Euclidean(Summation);686.59;685.03;688.21;684.88;686.92
D PCA [C] Euclidean(Summation);733.21;2584.3;10494;36783;1.0808E+05
D PCA [S] Euclidean(Summation);686.59;685.03;688.21;684.88;686.92
D DE (avg)[C] Euclidean(Summation);1555.2;4033.4;10735;36785;1.0808E+05
D DE (avg)[S] Euclidean(Summation);1418.4;1405.4;1394.9;1410.4;1430.2
distances;(RandomNormal, RandomPearson) (many)
gain;1;3;9;27;81
D plain [C] Manhattan(Average);1.1402;1.1582;1.6044;2.3592;4.0364
D plain [S] Manhattan(Average);0.96026;0.95397;0.97581;0.93993;0.97842
D PCA [C] Manhattan(Average);1.1736;1.2039;2.9784;5.029;9.3793
D PCA [S] Manhattan(Average);0.96026;0.95397;0.97581;0.93993;0.97842
D DE (avg)[C] Manhattan(Average);1.1958;1.3565;3.0347;5.03;9.3792
D DE (avg)[S] Manhattan(Average);1.0237;1.0126;1.011;1.0023;1.0174
D plain [C] Manhattan(GeometricAverage);1.1058;1.1281;1.5478;2.2239;3.7377
D plain [S] Manhattan(GeometricAverage);0.93541;0.93108;0.95269;0.91292;0.95207
D PCA [C] Manhattan(GeometricAverage);1.1171;1.1638;2.6738;4.4125;8.3602
D PCA [S] Manhattan(GeometricAverage);0.93541;0.93108;0.95269;0.91292;0.95207
D DE (avg)[C] Manhattan(GeometricAverage);1.1425;1.2523;2.7058;4.4137;8.3602
D DE (avg)[S] Manhattan(GeometricAverage);0.98312;0.97122;0.97584;0.96135;0.98232
D plain [C] Manhattan(Median);1.1072;1.1379;1.5957;2.307;4.0199
D plain [S] Manhattan(Median);0.94581;0.94162;0.97211;0.92255;0.95599
D PCA [C] Manhattan(Median);1.1196;1.1705;3.001;5.0367;9.4447
